Object: ring, Seed: 7917, Result: 0, vel: 5.149649715078779, roll:-0.0011670282872424664, pos:[-0.11299483920387715, 0.5895723351270536, 0], ori:[1.0328276452326381, 90, -1.1192165194579875]
Object: ring, Seed: 62193, Result: 0, vel: 5.042028931472426, roll:-0.06420509023200283, pos:[-0.2503484336115087, 0.4273473769170333, 0], ori:[-1.0340467429752884, 90, -7.385831101813153]
Object: ring, Seed: 55122, Result: 0, vel: 5.239990639204449, roll:0.2709611281951126, pos:[-0.12872763120096062, 0.3534604377943511, 0], ori:[-3.1026655753818453, 90, 7.090272702840661]
Object: ring, Seed: 40877, Result: 0, vel: 5.85013913067974, roll:0.15620102247980167, pos:[-0.1345349986342475, -1.1011818633612869, 0], ori:[-0.33657741151733234, 90, 12.423580821061677]
Object: ring, Seed: 97076, Result: 0, vel: 5.905631262185166, roll:-0.20281837200483882, pos:[-0.05168101584831783, 0.9906653251793711, 0], ori:[2.154952695298819, 90, 6.4038980010630056]
Object: ring, Seed: 70349, Result: 0, vel: 5.926433921604107, roll:0.02714539183308029, pos:[-0.14775138317577563, -0.6175116777299617, 0], ori:[-2.3289783889000013, 90, 9.088559496572866]
Object: ring, Seed: 35136, Result: 0, vel: 5.673306669599164, roll:0.20870305936069916, pos:[-0.12057305375896527, 0.3618925911326376, 0], ori:[0.9390970398569429, 90, 12.076955435203985]
Object: ring, Seed: 79726, Result: 0, vel: 5.235767229775113, roll:-0.13506699699721886, pos:[-0.14662715335068105, 1.0209148641735226, 0], ori:[-1.1929101071232662, 90, 0.464607206618032]
Object: ring, Seed: 12758, Result: 0, vel: 5.836848563431648, roll:0.10942312807006915, pos:[0.09993269189172732, 0.12889426257057934, 0], ori:[-1.0040566173804066, 90, -11.048483647973915]
Object: ring, Seed: 32532, Result: 0, vel: 5.194596642971151, roll:-0.13773836999646885, pos:[-0.09646720647322551, -0.11265209527776343, 0], ori:[0.4146033555258688, 90, -7.293042171665029]
Object: ring, Seed: 79578, Result: 1, vel: 5.3562455913432965, roll:-0.05716434926464958, pos:[-0.025989646416545942, -1.0479805943950813, 0], ori:[-4.480856577791182, 90, 6.394877171082854]
Object: ring, Seed: 92499, Result: 1, vel: 5.7405566412661875, roll:-0.021274911039243616, pos:[-0.21433861917815783, -0.26117640424681665, 0], ori:[4.14219037522288, 90, 10.162384634475945]
Object: ring, Seed: 83773, Result: 0, vel: 5.687410097464033, roll:0.18605354163489424, pos:[-0.08395628592174617, -1.1452975382204744, 0], ori:[-4.987965823338408, 90, -10.515968211410186]
Object: ring, Seed: 49646, Result: 0, vel: 5.525867184325954, roll:0.16953299293371948, pos:[0.04846426247784036, 0.7096970587507974, 0], ori:[2.4089400705191277, 90, 13.258865927179276]
Object: ring, Seed: 69846, Result: 1, vel: 5.570516183824888, roll:0.07330685217856919, pos:[-0.08829500255359718, -0.08693895414873132, 0], ori:[-3.1787737419098336, 90, -9.395725832066766]
Object: ring, Seed: 2978, Result: 0, vel: 5.10124495878771, roll:0.11263043926211608, pos:[-0.11282759058698744, 1.1757337129576546, 0], ori:[-4.599170252324484, 90, -1.9121120684087423]
Object: ring, Seed: 81145, Result: 0, vel: 5.412689310981142, roll:0.2239697865873021, pos:[-0.28314391565844305, 0.4449690495926295, 0], ori:[2.5967072469951678, 90, 2.252556137002344]
Object: ring, Seed: 37553, Result: 0, vel: 5.256421240176496, roll:-0.10310921622267558, pos:[-0.19049999603468118, -0.4317072313182173, 0], ori:[3.9563258079017647, 90, -12.13544193589057]
Object: ring, Seed: 18418, Result: 0, vel: 5.327280729753031, roll:0.21215632888703223, pos:[-0.06803900490576084, 0.8732871444956751, 0], ori:[-1.4377620545480907, 90, 9.047534910566036]
Object: ring, Seed: 57746, Result: 1, vel: 5.249603831816021, roll:-0.00762952190638122, pos:[-0.1063147871355006, 0.5310879128687087, 0], ori:[3.975775296173863, 90, -12.38445974007923]
Object: ring, Seed: 23927, Result: 0, vel: 5.783972203252057, roll:-0.17103067985651776, pos:[-0.12712687701850806, -1.04072943868424, 0], ori:[3.196879649918076, 90, -2.5103277223808647]
Object: ring, Seed: 80431, Result: 0, vel: 5.11234799393635, roll:0.06956829078320015, pos:[-0.22804191843605404, 0.7580754359316224, 0], ori:[-2.2173984018506667, 90, -0.30789594097995376]
Object: ring, Seed: 89635, Result: 0, vel: 5.41159958436878, roll:0.08728389626438932, pos:[-0.29610864892401934, 0.8345126983067142, 0], ori:[-1.5149439019463076, 90, 3.9630936431706587]
Object: ring, Seed: 72203, Result: 0, vel: 5.584084162358674, roll:0.06248190400785081, pos:[-0.20517237899681717, 0.7052601512983192, 0], ori:[1.0881491459173622, 90, 2.6219117751087353]
Object: ring, Seed: 50971, Result: 0, vel: 5.608939969543039, roll:0.21366563116222298, pos:[-0.16711483724599419, 0.06970966048777694, 0], ori:[-4.7741231815499585, 90, 10.101428786132992]
Object: ring, Seed: 22073, Result: 0, vel: 5.161322338342465, roll:-0.052038140707732106, pos:[0.05730500165488983, -1.1447943162979186, 0], ori:[-4.531367404043013, 90, 10.924583956562536]
Object: ring, Seed: 9704, Result: 0, vel: 5.654287378658912, roll:0.19464921103923943, pos:[-0.17530825760855978, 0.8786705559803167, 0], ori:[4.832239431326979, 90, -13.405905018070397]
Object: ring, Seed: 67007, Result: 0, vel: 5.45305517092095, roll:-0.03922075446697798, pos:[-0.05535909349133286, 1.0794127155377418, 0], ori:[-2.4724153155572037, 90, -12.303573698201058]
Object: ring, Seed: 48509, Result: 1, vel: 5.26806259890793, roll:-0.18082459607310575, pos:[-0.0027985086190289166, 0.41360890844079035, 0], ori:[2.984439247296786, 90, -5.272267982786476]
Object: ring, Seed: 96583, Result: 0, vel: 5.377100282368154, roll:-0.29779330919497216, pos:[-0.29402350271498334, -0.6293313063330452, 0], ori:[-0.5668420144898958, 90, -13.30563465197945]
Object: ring, Seed: 66852, Result: 0, vel: 5.093078638321911, roll:0.0022451849010233227, pos:[-0.23815430570223167, -0.2374904415262724, 0], ori:[4.908914166479237, 90, -2.127328582322633]
Object: ring, Seed: 59643, Result: 0, vel: 5.152632047154169, roll:0.2745380312916063, pos:[-0.10806341450001733, -0.6749158501014957, 0], ori:[-4.175944421078787, 90, -2.882732933138346]
Object: ring, Seed: 63009, Result: 0, vel: 5.5062344389582805, roll:0.2080407274207599, pos:[-0.20536223409291424, -0.09287268183531294, 0], ori:[0.2681778530264385, 90, -10.06761185127478]
Object: ring, Seed: 63463, Result: 0, vel: 5.6949690111532885, roll:-0.0541637730546804, pos:[-0.22457600045712905, -0.4876432761732775, 0], ori:[0.4026947177897586, 90, -9.102116164158625]
Object: ring, Seed: 26270, Result: 0, vel: 5.0034215605656405, roll:-0.1428376998908984, pos:[-0.18579169843150506, -0.8907815602713975, 0], ori:[-4.238972403453063, 90, -3.4969553949797483]
Object: ring, Seed: 64903, Result: 0, vel: 5.4977042750448994, roll:-0.26670443073786754, pos:[-0.2605039575292845, -0.7738119990401646, 0], ori:[-4.366534300967135, 90, -7.058929855701746]
Object: ring, Seed: 59485, Result: 0, vel: 5.356701138180585, roll:0.21033312495513173, pos:[-0.15898142900068762, 1.0968084718335696, 0], ori:[-1.174554190811504, 90, -9.357121545939306]
