Object: noodle, Seed: 8213, Result: 0, vel: 5.049799927519581, pos:[-0.2615689210029431, -0.48427280919190496, 0], ori:[90, 1.1764902163650852, -2.3581782994045213]
Object: noodle, Seed: 1788, Result: 0, vel: 5.823493480725581, pos:[-0.14232349994290303, -0.3161998648127724, 0], ori:[90, -0.8859573298079688, 7.331204108884744]
Object: noodle, Seed: 3236, Result: 0, vel: 5.127952675562085, pos:[-0.05066444510453347, 0.19288449942920416, 0], ori:[90, -2.5528349980579303, 2.2325607233211464]
Object: noodle, Seed: 8934, Result: 1, vel: 5.775738949064497, pos:[-0.15527437071483524, -0.1468657956478414, 0], ori:[90, 2.2434676815130032, -0.8579252119195573]
Object: noodle, Seed: 7845, Result: 0, vel: 5.53582430990248, pos:[-0.13640624465957715, -0.26997168202136324, 0], ori:[90, -3.09145353590611, 8.205305037340707]
Object: noodle, Seed: 2082, Result: 0, vel: 5.197601114547609, pos:[-0.14201353133478184, 0.002155301291155598, 0], ori:[90, -3.1417989077731168, 5.940822660739663]
Object: noodle, Seed: 7924, Result: 0, vel: 5.089806158666263, pos:[-0.2626063847544758, 0.3859650993076311, 0], ori:[90, 3.8656558496290856, -9.174330750982422]
Object: noodle, Seed: 9834, Result: 1, vel: 5.80884708618706, pos:[-0.218476656232205, 0.41742895947605285, 0], ori:[90, 0.07749218759261911, 2.190718362390836]
Object: noodle, Seed: 1097, Result: 1, vel: 5.748119702936262, pos:[-0.2938062894946733, 0.09490906068013127, 0], ori:[90, -4.421768350504328, -13.386633814948318]
Object: noodle, Seed: 8856, Result: 1, vel: 5.537256596822803, pos:[-0.2015780578836422, 0.37791914979177654, 0], ori:[90, -3.931583185607744, -10.56612662896364]
Object: noodle, Seed: 2281, Result: 0, vel: 5.452221254849773, pos:[-0.11040095947275116, -0.03692791451940636, 0], ori:[90, -2.531731115369218, 5.260896846772841]
Object: noodle, Seed: 4567, Result: 1, vel: 5.92798811951593, pos:[-0.24072077282847443, -0.24118284601165074, 0], ori:[90, -3.0376573835023857, 4.168824780854951]
Object: noodle, Seed: 9846, Result: 0, vel: 5.101450555132526, pos:[-0.21665773502932184, 0.2864786550045757, 0], ori:[90, -4.979898505781909, 7.98346067452259]
Object: noodle, Seed: 7405, Result: 0, vel: 5.0077174284101265, pos:[-0.23964650312524183, -0.3927405867701572, 0], ori:[90, 4.880368715030109, 3.2029686128584416]
Object: noodle, Seed: 4626, Result: 1, vel: 5.814783290693, pos:[-0.16785205741863, -0.15428841257458725, 0], ori:[90, 2.1375850965616348, 6.254720177932434]
Object: noodle, Seed: 1244, Result: 1, vel: 5.737141488311049, pos:[-0.14218121656317162, 0.10349562526278921, 0], ori:[90, 2.7957358949705355, 13.502499801819155]
Object: noodle, Seed: 1224, Result: 1, vel: 5.899070682241595, pos:[-0.04892384523384219, -0.49252597455674774, 0], ori:[90, -4.655259952533042, -0.9840172607241477]
Object: noodle, Seed: 1762, Result: 1, vel: 5.318596645764494, pos:[-0.066271451882569, -0.023002833784858456, 0], ori:[90, -0.0041101261217191265, 2.070659595085054]
Object: noodle, Seed: 9642, Result: 1, vel: 5.631366219003369, pos:[-0.09817746457296136, 0.4982136821082872, 0], ori:[90, 3.6723621221413723, 7.8338919614257065]
Object: noodle, Seed: 3100, Result: 0, vel: 5.5083420531890654, pos:[-0.10381274972470592, -0.16793726252963614, 0], ori:[90, -2.09269905382949, -11.833140995356096]
Object: noodle, Seed: 1504, Result: 0, vel: 5.34335301295308, pos:[-0.10114660938331332, 0.05281955603966726, 0], ori:[90, -4.9770419383676625, 2.548639687836179]
Object: noodle, Seed: 5732, Result: 1, vel: 5.447449740401031, pos:[-0.058322115233987865, 0.12672395216427979, 0], ori:[90, -3.007328115277532, 7.0810240393577395]
Object: noodle, Seed: 1312, Result: 1, vel: 5.298504911970354, pos:[-0.2866243782387424, 0.3740531721153202, 0], ori:[90, 3.596689360333169, -12.102583594383656]
Object: noodle, Seed: 5687, Result: 0, vel: 5.896144088545098, pos:[-0.21191038134520396, -0.4354046602289414, 0], ori:[90, 0.4616688144655807, -5.367007465498194]
Object: noodle, Seed: 2550, Result: 0, vel: 5.130954746224541, pos:[-0.09075286438203706, -0.14157802311259704, 0], ori:[90, -1.1497572574107595, -7.479273140913358]
Object: noodle, Seed: 9108, Result: 0, vel: 5.587345214467302, pos:[-0.09196385045489003, -0.35804621533901915, 0], ori:[90, -2.727021368676964, 13.839192129544397]
Object: noodle, Seed: 1621, Result: 0, vel: 5.466795852524889, pos:[-0.149403136382388, 0.3456527196656859, 0], ori:[90, -4.281712221692539, -3.5736591570421723]
Object: noodle, Seed: 6721, Result: 1, vel: 5.80955661828508, pos:[-0.05977700221697024, 0.2656296717139406, 0], ori:[90, -1.3978601087015252, 12.358544063484647]
Object: noodle, Seed: 9957, Result: 1, vel: 5.92625511323218, pos:[-0.0041968781877486094, 0.32099010855779964, 0], ori:[90, -2.872062000243628, 12.825670487314152]
Object: noodle, Seed: 4393, Result: 1, vel: 5.4519614665529055, pos:[-0.04948427485081225, 0.16568538126614252, 0], ori:[90, -0.4001338097097289, -6.004841602055883]
Object: noodle, Seed: 7060, Result: 1, vel: 5.506784515779437, pos:[-0.10174982255088302, -0.18058812400711455, 0], ori:[90, 4.467142801633441, -6.431230851441768]
Object: noodle, Seed: 6732, Result: 1, vel: 5.233577694801202, pos:[-0.25533826838098583, 0.45682807164020334, 0], ori:[90, -0.8312065280265655, -12.687689356543661]
