Object: cuboid, Seed: 38456, Result: 1, vel: 5.904285152078615, roll:0.1007917492042878, pos:[0.0408238322140016, 1.1109420858329606, 0], ori:[-1.0464933478457739, 90, 12.605280998870725]
Object: cuboid, Seed: 52460, Result: 0, vel: 5.3153797195812125, roll:-0.14297450806395418, pos:[0.08950328525741164, -0.6467340638391116, 0], ori:[1.9930297933845198, 90, -6.9553407237304885]
Object: cuboid, Seed: 65856, Result: 1, vel: 5.121541827675635, roll:-0.2877985508826953, pos:[-0.03958756336419539, 0.666930341956393, 0], ori:[-3.758803627678634, 90, -7.719253660804172]
Object: cuboid, Seed: 65377, Result: 1, vel: 5.750562550863085, roll:0.1517428760583714, pos:[-0.10775823857597155, 0.15308102695513615, 0], ori:[2.5395872127625276, 90, 7.588677412130028]
Object: cuboid, Seed: 52697, Result: 0, vel: 5.097325617996052, roll:-0.05246051506509686, pos:[-0.13102093723315222, 0.3654244332638492, 0], ori:[3.0393569121122717, 90, 7.135142044296902]
Object: cuboid, Seed: 6440, Result: 0, vel: 5.142461202409986, roll:-0.038956385343623834, pos:[-0.11434107916766337, -0.1337078708180206, 0], ori:[2.646501532572847, 90, 7.50326296700095]
Object: cuboid, Seed: 64739, Result: 1, vel: 5.942281535961047, roll:0.18400620486214464, pos:[-0.003957193632107225, -0.7153023492687448, 0], ori:[2.4576640434008716, 90, -1.6942575721598594]
Object: cuboid, Seed: 29859, Result: 1, vel: 5.641143851337801, roll:-0.144489038185762, pos:[-0.09620265737732997, 0.3996569996592483, 0], ori:[0.3020764858203968, 90, 13.122412449120933]
Object: cuboid, Seed: 32232, Result: 1, vel: 5.138665477057585, roll:0.21484651216545164, pos:[0.024036731170844594, 1.0212361876379108, 0], ori:[-3.7190072677372807, 90, 1.1241190407605313]
Object: cuboid, Seed: 77727, Result: 1, vel: 5.549249037211065, roll:0.2959024005499717, pos:[-0.008056690670028122, -0.641269257308327, 0], ori:[0.5391471305048992, 90, 2.7320758358797903]
Object: cuboid, Seed: 13440, Result: 0, vel: 5.921413245824615, roll:-0.20869139953720384, pos:[-0.11575025498073008, -0.3943951288110744, 0], ori:[0.7286931721692849, 90, 5.087175959889539]
Object: cuboid, Seed: 36831, Result: 1, vel: 5.002276453587902, roll:0.2570283749587508, pos:[-0.0033543616665280274, -0.04606971155521977, 0], ori:[-4.180330954174205, 90, -7.606661275907907]
Object: cuboid, Seed: 35890, Result: 0, vel: 5.363031518392253, roll:-0.09619756577140504, pos:[-0.2797124060260677, -0.3711224744670405, 0], ori:[-1.612346225396787, 90, -2.1612366897152793]
Object: cuboid, Seed: 22773, Result: 1, vel: 5.426822680934228, roll:0.02453964357233196, pos:[0.09908541111322289, 1.1744345757907897, 0], ori:[2.157566853362219, 90, 13.462184911139328]
Object: cuboid, Seed: 84156, Result: 0, vel: 5.830488362431324, roll:0.25515386316318706, pos:[-0.26684416686919743, -1.0195207867721732, 0], ori:[4.5959717998099805, 90, 12.63843382521154]
Object: cuboid, Seed: 78136, Result: 1, vel: 5.3841279989087205, roll:0.2878032297450321, pos:[0.07466346599286594, 0.9239242705884452, 0], ori:[2.4727681298497837, 90, -0.1065552963920755]
Object: cuboid, Seed: 77823, Result: 1, vel: 5.161709656465811, roll:0.21330789597300576, pos:[-0.1913556081544048, 0.08738160816917162, 0], ori:[2.608399120562506, 90, -13.572211288938133]
Object: cuboid, Seed: 17272, Result: 0, vel: 5.492767628006349, roll:0.015346227875039031, pos:[0.06827015331847086, -0.14272755367068557, 0], ori:[-0.3104964918614552, 90, -13.0407062288991]
